Country Code;Continent
AFG;AS
ALB;EU
DZA;AF
ASM;OC
AND;EU
AGO;AF
AIA;NA
ATA;AN
ATG;NA
ARG;SA
ARM;AS
ABW;NA
AUS;OC
AUT;EU
AZE;AS
BHS;NA
BHR;AS
BGD;AS
BRB;NA
BLR;EU
BEL;EU
BLZ;NA
BEN;AF
BMU;NA
BTN;AS
BOL;SA
BES;NA
BIH;EU
BWA;AF
BVT;AN
BRA;SA
IOT;AS
VGB;NA
BRN;AS
BGR;EU
BFA;AF
BDI;AF
CPV;AF
KHM;AS
CMR;AF
CAN;NA
CYM;NA
CAF;AF
TCD;AF
CHL;SA
CHN;AS
CXR;OC
CCK;AS
COL;SA
COM;AF
COG;AF
COK;OC
CRI;NA
HRV;EU
CUB;NA
CUW;NA
CYP;EU
CZE;EU
COD;AF
DNK;EU
DJI;AF
DMA;NA
DOM;NA
ECU;SA
EGY;AF
SLV;NA
GNQ;AF
ERI;AF
EST;EU
SWZ;AF
ETH;AF
FLK;SA
FRO;EU
FJI;OC
FIN;EU
FRA;EU
GUF;SA
PYF;OC
ATF;AN
GAB;AF
GEO;AS
DEU;EU
GHA;AF
GIB;EU
GRC;EU
GRL;NA
GRD;NA
GLP;NA
GUM;OC
GTM;NA
GGY;EU
GIN;AF
GNB;AF
GUY;SA
HTI;NA
HMD;AN
HND;NA
HKG;AS
HUN;EU
ISL;EU
IND;AS
IDN;AS
IRN;AS
IRQ;AS
IRL;EU
IMN;EU
ISR;AS
ITA;EU
CIV;AF
JAM;NA
JPN;AS
JEY;EU
JOR;AS
KAZ;AS
KEN;AF
KIR;OC
XKX;EU
KWT;AS
KGZ;AS
LAO;AS
LVA;EU
LBN;AS
LSO;AF
LBR;AF
LBY;AF
LIE;EU
LTU;EU
LUX;EU
MAC;AS
MDG;AF
MWI;AF
MYS;AS
MDV;AS
MLI;AF
MLT;EU
MHL;OC
MTQ;NA
MRT;AF
MUS;AF
MYT;AF
MEX;NA
FSM;OC
MDA;EU
MCO;EU
MNG;AS
MNE;EU
MSR;NA
MAR;AF
MOZ;AF
MMR;AS
NAM;AF
NRU;OC
NPL;AS
NLD;EU
NCL;OC
NZL;OC
NIC;NA
NER;AF
NGA;AF
NIU;OC
NFK;OC
PRK;AS
MKD;EU
MNP;OC
NOR;EU
OMN;AS
PAK;AS
PLW;OC
PSE;AS
PAN;NA
PNG;OC
PRY;SA
PER;SA
PHL;AS
PCN;OC
POL;EU
PRT;EU
PRI;NA
QAT;AS
ROU;EU
RUS;EU
RWA;AF
REU;AF
BLM;NA
SHN;AF
LCA;NA
MAF;NA
SPM;NA
WSM;OC
SMR;EU
SAU;AS
SEN;AF
SRB;EU
SYC;AF
SLE;AF
SGP;AS
SXM;NA
SVK;EU
SVN;EU
SLB;OC
SOM;AF
ZAF;AF
SGS;AN
KOR;AS
SSD;AF
ESP;EU
LKA;AS
KNA;NA
VCT;NA
SDN;AF
SUR;SA
SJM;EU
SWE;EU
CHE;EU
SYR;AS
STP;AF
TWN;AS
TJK;AS
TZA;AF
THA;AS
GMB;AF
TLS;OC
TGO;AF
TKL;OC
TON;OC
TTO;NA
TUN;AF
TUR;AS
TKM;AS
TCA;NA
TUV;OC
UMI;OC
VIR;NA
UGA;AF
UKR;EU
ARE;AS
GBR;EU
USA;NA
URY;SA
UZB;AS
VUT;OC
VAT;EU
VEN;SA
VNM;AS
WLF;OC
ESH;AF
YEM;AS
ZMB;AF
ZWE;AF
ALA;EU
